"name","file","start_line","end_line"
"SimpleDropdown","gradio/_simple_templates/simpledropdown.py",15,15
"SimpleImage","gradio/_simple_templates/simpleimage.py",22,22
"SimpleTextbox","gradio/_simple_templates/simpletextbox.py",14,14
"Accordion","gradio/layouts/accordion.py",17,17
"Column","gradio/layouts/column.py",13,13
"Draggable","gradio/layouts/draggable.py",12,12
"Form","gradio/layouts/form.py",14,14
"Group","gradio/layouts/group.py",12,12
"Row","gradio/layouts/row.py",13,13
"Sidebar","gradio/layouts/sidebar.py",14,14
"Tab","gradio/layouts/tabs.py",55,55
"Tabs","gradio/layouts/tabs.py",13,13
"Step","gradio/layouts/walkthrough.py",66,66
"Walkthrough","gradio/layouts/walkthrough.py",12,12
"AnnotatedImage","gradio/components/annotated_image.py",39,39
"Audio","gradio/components/audio.py",54,58
"Component","gradio/components/base.py",128,128
"FormComponent","gradio/components/base.py",360,360
"StreamingInput","gradio/components/base.py",404,404
"StreamingOutput","gradio/components/base.py",377,377
"_Keywords","gradio/components/base.py",44,44
"_Keywords","client/python/gradio_client/utils.py",1302,1302
"BrowserState","gradio/components/browser_state.py",29,29
"Button","gradio/components/button.py",20,20
"Chatbot","gradio/components/chatbot.py",204,204
"ChatMessage","gradio/components/chatbot.py",164,164
"MessageDict","gradio/components/chatbot.py",113,113
"Checkbox","gradio/components/checkbox.py",21,21
"CheckboxGroup","gradio/components/checkboxgroup.py",22,22
"ClearButton","gradio/components/clear_button.py",23,23
"Code","gradio/components/code.py",21,21
"ColorPicker","gradio/components/color_picker.py",19,19
"Dataframe","gradio/components/dataframe.py",52,52
"Dataset","gradio/components/dataset.py",21,21
"DateTime","gradio/components/datetime.py",20,20
"DeepLinkButton","gradio/components/deep_link_button.py",23,23
"Dialogue","gradio/components/dialogue.py",25,25
"DownloadButton","gradio/components/download_button.py",22,22
"Dropdown","gradio/components/dropdown.py",33,33
"DuplicateButton","gradio/components/duplicate_button.py",20,20
"Fallback","gradio/components/fallback.py",4,4
"File","gradio/components/file.py",28,28
"FileExplorer","gradio/components/file_explorer.py",31,31
"Gallery","gradio/components/gallery.py",53,53
"HighlightedText","gradio/components/highlighted_text.py",31,31
"HTML","gradio/components/html.py",26,26
"Image","gradio/components/image.py",30,30
"ImageEditor","gradio/components/image_editor.py",197,197
"ImageSlider","gradio/components/imageslider.py",38,38
"JSON","gradio/components/json_component.py",30,30
"Label","gradio/components/label.py",35,35
"LoginButton","gradio/components/login_button.py",23,23
"Markdown","gradio/components/markdown.py",20,20
"Model3D","gradio/components/model3d.py",24,24
"MultimodalTextbox","gradio/components/multimodal_textbox.py",42,42
"BarPlot","gradio/components/native_plot.py",234,234
"LinePlot","gradio/components/native_plot.py",250,250
"NativePlot","gradio/components/native_plot.py",33,33
"ScatterPlot","gradio/components/native_plot.py",266,266
"Navbar","gradio/components/navbar.py",14,14
"Number","gradio/components/number.py",23,23
"ParamViewer","gradio/components/paramviewer.py",22,22
"Plot","gradio/components/plot.py",35,35
"Radio","gradio/components/radio.py",22,22
"Slider","gradio/components/slider.py",23,23
"State","gradio/components/state.py",21,21
"InputHTMLAttributes","gradio/components/textbox.py",24,24
"Textbox","gradio/components/textbox.py",51,51
"Timer","gradio/components/timer.py",17,17
"UploadButton","gradio/components/upload_button.py",28,28
"Video","gradio/components/video.py",35,35
"Error","gradio/exceptions.py",61,61
"A","test/test_interfaces.py",63,63
"Size","gradio/themes/utils/sizes.py",4,4
"List","gradio/templates.py",758,758
"Context","gradio/context.py",15,15
"Message","gradio/components/chatbot.py",142,142
"Message","client/python/gradio_client/utils.py",71,71
"ThemeAsset","gradio/themes/utils/semver_match.py",11,11
"Test","js/preview/test/test/backend/gradio_test/test.py",4,4
"Event","scripts/load_test/workers.py",16,16
"Event","gradio/queueing.py",53,53
"Base","gradio/themes/base.py",366,366
"ThemeClass","gradio/themes/base.py",26,26
"Citrus","gradio/themes/citrus.py",9,9
"Cyberpunk","gradio/themes/cyberpunk.py",9,9
"Default","gradio/themes/default.py",9,9
"Ember","gradio/themes/ember.py",9,9
"Glass","gradio/themes/glass.py",9,9
"Monochrome","gradio/themes/monochrome.py",9,9
"Neon","gradio/themes/neon.py",9,9
"Ocean","gradio/themes/ocean.py",9,9
"Origin","gradio/themes/origin.py",9,9
"Soft","gradio/themes/soft.py",9,9
"Color","gradio/themes/utils/colors.py",4,4
"Font","gradio/themes/utils/fonts.py",46,46
"GoogleFont","gradio/themes/utils/fonts.py",70,70
"Blocks","gradio/blocks.py",995,995
"ChatInterface","gradio/chat_interface.py",53,53
"WaveformOptions","gradio/components/audio.py",33,33
"Brush","gradio/components/image_editor.py",87,87
"Eraser","gradio/components/image_editor.py",75,75
"LayerOptions","gradio/components/image_editor.py",118,118
"WatermarkOptions","gradio/components/image_editor.py",151,151
"WebcamOptions","gradio/components/image_editor.py",137,137
"FileData","gradio/data_classes.py",225,225
"FileData","client/python/gradio_client/data_classes.py",8,8
"CopyData","gradio/events.py",477,477
"DeletedFileData","gradio/events.py",283,283
"DownloadData","gradio/events.py",452,452
"EditData","gradio/events.py",415,415
"EventData","scripts/load_test/workers.py",69,69
"EventData","gradio/events.py",161,161
"KeyUpData","gradio/events.py",246,246
"LikeData","gradio/events.py",309,309
"RetryData","gradio/events.py",349,349
"SelectData","gradio/events.py",199,199
"UndoData","gradio/events.py",384,384
"CSVLogger","gradio/flagging.py",198,198
"FlaggingCallback","gradio/flagging.py",26,26
"SimpleCSVLogger","gradio/flagging.py",64,64
"Progress","gradio/helpers.py",691,691
"Examples","gradio/helpers.py",91,91
"I18n","gradio/i18n.py",84,84
"Interface","gradio/interface.py",42,42
"TabbedInterface","gradio/interface.py",960,960
"OAuthProfile","gradio/oauth.py",234,234
"OAuthToken","gradio/oauth.py",278,278
"Header","gradio/route_utils.py",215,215
"Request","gradio/route_utils.py",123,123
"Server","gradio/http_server.py",46,46
"Server","gradio/server.py",27,27
"Files","gradio/templates.py",518,518
"ImageMask","gradio/templates.py",268,268
"Matrix","gradio/templates.py",669,669
"Microphone","gradio/templates.py",439,439
"Numpy","gradio/templates.py",580,580
"Paint","gradio/templates.py",184,184
"PlayableVideo","gradio/templates.py",358,358
"Sketchpad","gradio/templates.py",98,98
"TextArea","gradio/templates.py",20,20
"FileSize","gradio/utils.py",1575,1575
"Client","client/python/gradio_client/client.py",62,62
"Callable","test/test_routes.py",1281,1281
"C","test/test_utils.py",268,268
"C","test/test_utils.py",323,323
"Queue","gradio/queueing.py",115,115
"AuthenticationError","client/python/gradio_client/exceptions.py",7,7
"ComponentFiles","gradio/cli/commands/components/_create_utils.py",61,61
"AdditionalInterface","gradio/cli/commands/components/_docs_utils.py",414,414
"F","test/test_utils.py",264,264
"F","test/test_utils.py",319,319
"BlockContext","gradio/blocks.py",460,460
"ComponentMeta","gradio/component_meta.py",199,199
"Events","gradio/events.py",1097,1097
"I18nData","gradio/i18n.py",8,8
"GradioModel","gradio/data_classes.py",195,195
"Annotation","gradio/components/annotated_image.py",28,28
"AnnotatedImageData","gradio/components/annotated_image.py",33,33
"Api","gradio/components/api_component.py",10,10
"FileDataDict","gradio/components/chatbot.py",73,73
"FileDataDict","gradio/data_classes.py",210,210
"MediaStreamChunk","gradio/data_classes.py",417,417
"AudioGallery","gradio/components/custom_html_components/audio_gallery.py",4,4
"Block","gradio/blocks.py",108,108
"EventListener","gradio/events.py",538,538
"DataframeData","gradio/components/dataframe.py",45,45
"DataframeData","gradio/components/base.py",37,37
"ComponentBase","gradio/components/base.py",49,49
"FontEncoder","gradio/themes/utils/fonts.py",8,8
"LocalFont","gradio/themes/utils/fonts.py",80,80
"Renderable","gradio/renderable.py",19,19
"BlockFunction","gradio/block_function.py",22,22
"BlocksEvents","gradio/blocks_events.py",25,25
"BlocksMeta","gradio/blocks_events.py",9,9
"LocalContext","gradio/context.py",22,22
"APIEndpointInfo","gradio/data_classes.py",451,451
"APIInfo","gradio/data_classes.py",458,458
"BlocksConfigDict","gradio/data_classes.py",377,377
"GradioRootModel","gradio/data_classes.py",201,201
"Layout","gradio/data_classes.py",366,366
"EventListenerMethod","gradio/events.py",502,502
"ChecksumMismatchError","gradio/exceptions.py",110,110
"DuplicateBlockError","gradio/exceptions.py",7,7
"InvalidApiNameError","gradio/exceptions.py",31,31
"InvalidComponentError","gradio/exceptions.py",13,13
"MediaStream","gradio/route_utils.py",1031,1031
"App","gradio/routes.py",241,241
"SessionState","gradio/state_holder.py",64,64
"StateHolder","gradio/state_holder.py",16,16
"TupleNoPrint","gradio/utils.py",1212,1212
"GradioMCPServer","gradio/mcp.py",47,47
"BlocksConfig","gradio/blocks.py",611,611
"SyncToAsyncIterator","gradio/utils.py",855,855
"Mode","gradio/brotli_middleware.py",16,16
"BrotliMiddleware","gradio/brotli_middleware.py",24,24
"BrotliResponder","gradio/brotli_middleware.py",123,123
"LivePanelDisplay","gradio/cli/commands/display.py",10,10
"ExampleMessage","gradio/components/chatbot.py",149,149
"NormalizedMessageDict","gradio/components/chatbot.py",135,135
"MultimodalPostprocess","gradio/components/multimodal_textbox.py",31,31
"MultimodalValue","gradio/components/multimodal_textbox.py",36,36
"Dependency","gradio/events.py",86,86
"ChatCSVLogger","gradio/flagging.py",348,348
"MetadataDict","gradio/components/chatbot.py",37,37
"OptionDict","gradio/components/chatbot.py",60,60
"TextMessage","gradio/components/chatbot.py",83,83
"TextMessageDict","gradio/components/chatbot.py",88,88
"ComponentMessage","gradio/components/chatbot.py",93,93
"ComponentMessageDict","gradio/components/chatbot.py",101,101
"FileMessage","gradio/components/chatbot.py",120,120
"FileMessageDict","gradio/components/chatbot.py",126,126
"ChatbotDataMessages","gradio/components/chatbot.py",180,180
"BlogChunks","js/_website/generate_jsons/chunking.py",7,7
"TextChunker","js/_website/generate_jsons/chunking.py",13,13
"ParameterInfo","client/python/gradio_client/data_classes.py",20,20
"AppError","client/python/gradio_client/exceptions.py",19,19
"ValidationError","client/python/gradio_client/exceptions.py",13,13
"Communicator","client/python/gradio_client/utils.py",266,266
"JobStatus","client/python/gradio_client/utils.py",255,255
"QueueError","client/python/gradio_client/utils.py",105,105
"ServerMessage","client/python/gradio_client/utils.py",123,123
"Status","client/python/gradio_client/utils.py",140,140
"StatusUpdate","client/python/gradio_client/utils.py",215,215
"Endpoint","client/python/gradio_client/client.py",1000,1000
"Job","client/python/gradio_client/client.py",1401,1401
"TooManyRequestsError","gradio/exceptions.py",114,114
"TooManyRequestsError","client/python/gradio_client/utils.py",99,99
"ComponentApiType","client/python/gradio_client/client.py",989,989
"ReplaceMe","client/python/gradio_client/client.py",996,996
"InvalidAPIEndpointError","client/python/gradio_client/utils.py",111,111
"ColoredCheckboxGroup","gradio/components/custom_html_components/colored_checkbox_group.py",4,4
"ComponentDefinitionError","gradio/exceptions.py",102,102
"_StaticFiles","gradio/data_classes.py",343,343
"CancelBody","gradio/data_classes.py",50,50
"SimplePredictBody","gradio/data_classes.py",56,56
"_StarletteRequestPydanticAnnotation","gradio/data_classes.py",61,61
"PredictBody","gradio/data_classes.py",85,85
"PredictBodyInternal","gradio/data_classes.py",116,116
"ResetBody","gradio/data_classes.py",124,124
"VibeEditBody","gradio/data_classes.py",128,128
"VibeCodeBody","gradio/data_classes.py",132,132
"ComponentServerJSONBody","gradio/data_classes.py",136,136
"DataWithFiles","gradio/data_classes.py",143,143
"ComponentServerBlobBody","gradio/data_classes.py",148,148
"InterfaceTypes","gradio/data_classes.py",155,155
"GradioBaseModel","gradio/data_classes.py",162,162
"JsonData","gradio/data_classes.py",189,189
"FileDataMeta","gradio/data_classes.py",220,220
"ListFiles","gradio/data_classes.py",333,333
"BodyCSS","gradio/data_classes.py",359,359
"Page","gradio/data_classes.py",371,371
"ImageData","gradio/data_classes.py",424,424
"Base64ImageData","gradio/data_classes.py",440,440
"APIReturnInfo","gradio/data_classes.py",444,444
"DialogueLine","gradio/components/dialogue.py",15,15
"DialogueModel","gradio/components/dialogue.py",20,20
"Parameter","gradio/components/paramviewer.py",15,15
"DefaultValue","gradio/components/dropdown.py",22,22
"ModelNotFoundError","gradio/exceptions.py",19,19
"RenderError","gradio/exceptions.py",25,25
"ServerFailedToStartError","gradio/exceptions.py",35,35
"InvalidBlockError","gradio/exceptions.py",39,39
"ReloadError","gradio/exceptions.py",45,45
"GradioVersionIncompatibleError","gradio/exceptions.py",51,51
"InvalidPathError","gradio/exceptions.py",106,106
"SerializationSetupError","client/python/gradio_client/exceptions.py",1,1
"NamedString","gradio/utils.py",1378,1378
"FileExplorerData","gradio/components/file_explorer.py",24,24
"ClassicCSVLogger","gradio/flagging.py",119,119
"FlagMethod","gradio/flagging.py",392,392
"GalleryImage","gradio/components/gallery.py",38,38
"GalleryVideo","gradio/components/gallery.py",43,43
"GalleryData","gradio/components/gallery.py",48,48
"Config","test/test_processing_utils.py",477,477
"Config","test/test_reload.py",19,19
"UnhashableKeyDict","gradio/utils.py",1668,1668
"MatplotlibBackendMananger","gradio/utils.py",1221,1221
"TrackedIterable","gradio/helpers.py",670,670
"HighlightedToken","gradio/components/highlighted_text.py",21,21
"HighlightedTextData","gradio/components/highlighted_text.py",26,26
"ServerReloader","gradio/utils.py",191,191
"SourceFileReloader","gradio/utils.py",263,263
"SpacesReloader","gradio/utils.py",220,220
"EditorValue","gradio/components/image_editor.py",36,36
"EditorExampleValue","gradio/components/image_editor.py",42,42
"EditorData","gradio/components/image_editor.py",48,48
"EditorDataBlobs","gradio/components/image_editor.py",55,55
"BlobData","gradio/components/image_editor.py",61,61
"AcceptBlobs","gradio/components/image_editor.py",68,68
"SliderData","gradio/components/imageslider.py",22,22
"YOLOv10","demo/yolov10_webcam_stream/inference.py",9,9
"BaseReloader","gradio/utils.py",150,150
"CellIdTracker","gradio/ipython_ext.py",15,15
"JupyterReloader","gradio/ipython_ext.py",30,30
"LabelConfidence","gradio/components/label.py",24,24
"LabelData","gradio/components/label.py",29,29
"AsyncMock","client/python/test/test_utils.py",140,140
"MultimodalData","gradio/components/multimodal_textbox.py",26,26
"PlotData","gradio/components/plot.py",24,24
"PlotData","gradio/components/native_plot.py",26,26
"Tunnel","gradio/tunneling.py",63,63
"AltairPlotData","gradio/components/plot.py",29,29
"AltairPlot","gradio/components/plot.py",158,158
"RequestTrace","gradio/profiling.py",15,15
"TraceCollector","gradio/profiling.py",81,81
"EstimationMessage","gradio/server_messages.py",34,34
"LogMessage","gradio/server_messages.py",25,25
"ProcessCompletedMessage","gradio/server_messages.py",46,46
"ProcessGeneratingMessage","gradio/server_messages.py",53,53
"ProcessStartsMessage","gradio/server_messages.py",41,41
"ProgressMessage","gradio/server_messages.py",20,20
"ProgressUnit","client/python/gradio_client/utils.py",193,193
"ProgressUnit","gradio/server_messages.py",12,12
"LRUCache","gradio/utils.py",1416,1416
"EventQueue","gradio/queueing.py",92,92
"ProcessTime","gradio/queueing.py",103,103
"ClosedRange","gradio/ranged_response.py",22,22
"OpenRange","gradio/ranged_response.py",33,33
"RangedFileResponse","gradio/ranged_response.py",47,47
"RangedStaticFiles","gradio/ranged_response.py",147,147
"Obj","gradio/route_utils.py",62,62
"FnIndexInferError","gradio/route_utils.py",242,242
