"name","file","start_line","end_line","scope"
"__call__","demo/yolov10_webcam_stream/inference.py",14,14,"YOLOv10"
"__call__","test/test_routes.py",1282,1282,"Callable"
"__call__","gradio/blocks.py",1512,1512,"Blocks"
"__call__","gradio/ranged_response.py",95,95,"RangedFileResponse"
"__call__","test/test_utils.py",265,265,"F"
"__call__","test/test_utils.py",320,320,"F"
"__call__","gradio/flagging.py",411,411,"FlagMethod"
"__call__","gradio/route_utils.py",891,891,"CustomCORSMiddleware"
"__call__","test/test_mcp.py",36,36,"MyCallable"
"__call__","gradio/helpers.py",754,761,"Progress"
"__call__","gradio/brotli_middleware.py",68,68,"BrotliMiddleware"
"__call__","gradio/brotli_middleware.py",150,150,"BrotliResponder"
"__call__","gradio/i18n.py",121,121,"I18n"
"__call__","client/python/test/test_utils.py",141,141,"AsyncMock"
"__call__","gradio/events.py",156,156,"Dependency"
"__call__","client/python/test/test_client.py",705,705,"MockEndToEndFunction"
"__call__","client/python/test/test_client.py",782,782,"MockEndToEndFunction"
"__repr__","gradio/interface.py",947,947,"Interface"
"__repr__","gradio/block_function.py",135,135,"BlockFunction"
"__repr__","gradio/blocks.py",1377,1377,"Blocks"
"__repr__","gradio/route_utils.py",113,113,"Obj"
"__repr__","gradio/utils.py",1214,1214,"TupleNoPrint"
"__repr__","gradio/themes/utils/fonts.py",63,63,"Font"
"__repr__","gradio/i18n.py",44,44,"I18nData"
"__repr__","client/python/gradio_client/client.py",841,841,"Client"
"__repr__","client/python/gradio_client/client.py",1064,1064,"Endpoint"
"__bool__","gradio/ranged_response.py",29,29,"ClosedRange"
"__bool__","gradio/utils.py",140,140,"DynamicBoolean"
"__eq__","gradio/themes/utils/fonts.py",60,60,"Font"
"__hash__","demo/state_change/run.py",80,80,"CustomState"
"__lt__","client/python/gradio_client/utils.py",172,172,"Status"
"__add__","gradio/i18n.py",50,50,"I18nData"
"__contains__","gradio/state_holder.py",35,35,"StateHolder"
"__contains__","gradio/state_holder.py",123,123,"SessionState"
"__contains__","gradio/route_utils.py",88,88,"Obj"
"__getstate__","gradio/route_utils.py",185,185,"Request"
"__init__","gradio/http_server.py",47,52,"Server"
"__init__","gradio/components/login_button.py",41,62,"LoginButton"
"__init__","gradio/interface.py",84,129,"Interface"
"__init__","gradio/interface.py",968,974,"TabbedInterface"
"__init__","gradio/components/dataframe.py",63,113,"Dataframe"
"__init__","gradio/components/image_editor.py",216,260,"ImageEditor"
"__init__","gradio/state_holder.py",17,17,"StateHolder"
"__init__","gradio/state_holder.py",65,65,"SessionState"
"__init__","demo/super_html/run.py",186,186,"ListComponent"
"__init__","demo/super_html/run.py",274,279,"TodoList"
"__init__","gradio/components/plot.py",47,66,"Plot"
"__init__","gradio/components/datetime.py",32,53,"DateTime"
"__init__","demo/yolov10_webcam_stream/inference.py",10,10,"YOLOv10"
"__init__","gradio/components/label.py",47,68,"Label"
"__init__","demo/theme_new_step_2/run.py",9,32,"Seafoam"
"__init__","gradio/layouts/column.py",31,44,"Column"
"__init__","gradio/mcp.py",68,68,"GradioMCPServer"
"__init__","gradio/layouts/accordion.py",28,39,"Accordion"
"__init__","gradio/components/image.py",55,94,"Image"
"__init__","js/_website/generate_jsons/chunking.py",14,14,"TextChunker"
"__init__","client/python/gradio_client/exceptions.py",22,29,"AppError"
"__init__","gradio/components/dataset.py",29,52,"Dataset"
"__init__","gradio/components/file_explorer.py",40,66,"FileExplorer"
"__init__","gradio/components/textbox.py",70,102,"Textbox"
"__init__","gradio/themes/neon.py",10,31,"Neon"
"__init__","demo/magic_8_ball/streamer.py",11,18,"ParlerTTSStreamer"
"__init__","gradio/components/html.py",53,81,"HTML"
"__init__","demo/state_change/run.py",77,77,"CustomState"
"__init__","gradio/components/api_component.py",17,22,"Api"
"__init__","gradio/block_function.py",23,65,"BlockFunction"
"__init__","gradio/blocks.py",109,119,"Block"
"__init__","gradio/blocks.py",461,469,"BlockContext"
"__init__","gradio/blocks.py",612,612,"BlocksConfig"
"__init__","gradio/blocks.py",1040,1049,"Blocks"
